year,gat,cat
1753,8.39,16.44
1754,8.47,16.48
1755,8.36,16.19
1756,8.85,16.58
1757,9.02,16.37
1758,6.74,15.18
1759,7.99,16.31
1760,7.19,15.87
1761,8.77,16.55
1762,8.61,16.51
1763,7.50,15.85
1764,8.40,16.56
1765,8.25,16.54
1766,8.41,16.49
1767,8.22,16.31
1768,6.78,15.53
1769,7.69,16.25
1770,7.69,16.13
1771,7.85,16.65
1772,8.19,17.45
1773,8.22,16.21
1774,8.77,16.78
1775,9.18,16.92
1776,8.30,16.36
1777,8.26,16.13
1778,8.54,16.59
1779,8.98,16.69
1780,9.43,17.20
1781,8.10,16.65
1782,7.90,15.99
1783,7.68,16.29
1784,7.86,16.25
1785,7.36,16.00
1786,8.26,16.43
1787,8.03,16.49
1788,8.45,16.99
1789,8.33,15.82
1790,7.98,16.53
1791,8.23,16.62
1792,8.09,16.44
1793,8.23,16.21
1794,8.53,16.27
1795,8.35,16.45
1796,8.27,16.42
1797,8.51,16.24
1798,8.67,16.50
1799,8.51,16.42
1800,8.48,16.99
1801,8.59,16.80
1802,8.58,17.00
1803,8.50,16.66
1804,8.84,17.03
1805,8.56,16.04
1806,8.43,16.50
1807,8.28,16.35
1808,7.63,15.36
1809,7.08,15.55
1810,6.92,15.49
1811,6.86,15.91
1812,7.05,15.31
1813,7.74,15.63
1814,7.59,15.18
1815,7.24,15.82
1816,6.94,15.16
1817,6.98,16.07
1818,7.83,16.43
1819,7.37,15.97
1820,7.62,16.07
1821,8.09,16.24
1822,8.19,16.68
1823,7.72,15.96
1824,8.55,16.22
1825,8.39,16.33
1826,8.36,16.11
1827,8.81,16.11
1828,8.17,16.62
1829,7.94,15.92
1830,8.52,16.40
1831,7.64,16.42
1832,7.45,16.16
1833,8.01,16.01
1834,8.15,16.56
1835,7.39,15.61
1836,7.70,15.82
1837,7.38,15.67
1838,7.51,16.23
1839,7.63,16.13
1840,7.80,16.21
1841,7.69,16.39
1842,8.02,16.19
1843,8.17,16.28
1844,7.65,16.26
1845,7.85,16.03
1846,8.55,16.84
1847,8.09,16.16
1848,7.98,15.91
1849,7.98,16.26
1850,7.90,15.95
1851,8.18,15.91
1852,8.10,16.51
1853,8.04,16.05
1854,8.21,15.86
1855,8.11,15.91
1856,8.00,16.27
1857,7.76,16.03
1858,8.10,16.81
1859,8.25,15.96
1860,7.96,15.31
1861,7.85,15.84
1862,7.56,16.70
1863,8.11,15.98
1864,7.98,16.51
1865,8.18,16.50
1866,8.29,16.49
1867,8.44,16.77
1868,8.25,16.18
1869,8.43,16.20
1870,8.20,16.09
1871,8.12,15.98
1872,8.19,16.35
1873,8.35,16.21
1874,8.43,16.12
1875,7.86,15.98
1876,8.08,16.37
1877,8.54,16.41
1878,8.83,16.90
1879,8.17,16.03
1880,8.12,16.37
1881,8.27,17.05
1882,8.13,16.09
1883,7.98,15.56
1884,7.77,15.33
1885,7.92,15.78
1886,7.95,15.84
1887,7.91,15.86
1888,8.09,15.86
1889,8.32,15.45
1890,7.97,15.22
1891,8.02,15.84
1892,8.07,16.60
1893,8.06,16.89
1894,8.16,16.15
1895,8.15,17.11
1896,8.21,15.50
1897,8.29,16.73
1898,8.18,16.32
1899,8.40,17.22
1900,8.50,16.26
1901,8.54,15.87
1902,8.30,16.61
1903,8.22,15.94
1904,8.09,16.55
1905,8.23,16.06
1906,8.38,15.80
1907,7.95,15.85
1908,8.19,16.24
1909,8.18,15.89
1910,8.22,15.71
1911,8.18,16.22
1912,8.17,16.02
1913,8.30,16.62
1914,8.59,16.06
1915,8.59,16.15
1916,8.23,16.16
1917,8.02,15.64
1918,8.13,15.66
1919,8.38,15.81
1920,8.36,16.60
1921,8.57,16.16
1922,8.41,16.47
1923,8.42,15.63
1924,8.51,16.95
1925,8.53,15.62
1926,8.73,16.80
1927,8.52,17.00
1928,8.63,16.74
1929,8.24,16.06
1930,8.63,16.84
1931,8.72,17.09
1932,8.71,16.41
1933,8.34,16.59
1934,8.63,16.08
1935,8.52,16.32
1936,8.55,16.25
1937,8.70,17.04
1938,8.86,16.32
1939,8.76,16.20
1940,8.76,16.60
1941,8.77,16.40
1942,8.73,16.95
1943,8.76,16.77
1944,8.85,16.08
1945,8.58,17.23
1946,8.68,16.80
1947,8.80,17.51
1948,8.75,16.82
1949,8.59,17.03
1950,8.37,16.88
1951,8.63,16.56
1952,8.64,17.09
1953,8.87,16.34
1954,8.56,16.12
1955,8.63,17.29
1956,8.28,15.75
1957,8.73,16.15
1958,8.77,16.87
1959,8.73,16.69
1960,8.58,16.78
1961,8.80,17.49
1962,8.75,16.50
1963,8.86,16.43
1964,8.41,16.77
1965,8.53,16.55
1966,8.60,16.79
1967,8.70,16.78
1968,8.52,16.87
1969,8.60,16.23
1970,8.70,16.53
1971,8.60,16.17
1972,8.50,15.80
1973,8.95,16.23
1974,8.47,16.11
1975,8.74,15.98
1976,8.35,15.65
1977,8.85,16.79
1978,8.69,16.19
1979,8.73,16.50
1980,8.98,16.19
1981,9.17,16.82
1982,8.64,16.83
1983,9.03,17.14
1984,8.69,16.03
1985,8.66,16.99
1986,8.83,16.82
1987,8.99,17.59
1988,9.20,17.32
1989,8.92,17.55
1990,9.23,17.48
1991,9.18,16.26
1992,8.84,16.27
1993,8.87,17.00
1994,9.04,17.88
1995,9.35,17.36
1996,9.04,16.76
1997,9.20,17.84
1998,9.52,17.14
1999,9.29,17.97
2000,9.20,17.90
2001,9.41,18.13
2002,9.57,17.85
2003,9.53,18.07
2004,9.32,17.38
2005,9.70,17.19
2006,9.53,18.13
2007,9.73,17.42
2008,9.43,17.55
2009,9.51,17.78
2010,9.70,17.59
2011,9.52,17.79
2012,9.51,17.91
2013,9.61,17.65
